,user_id,reading_session,article_id,scroll_range,max_offset,ratio,displayedWords,reading_duration,numberOfWords,numOfScroll,freScroll,reading_speed,label
270,250.0,f113cdbc-c03b-4cc4-bc3d-de4c005301ec,36710667.0,2721.0,1056.0,0.3881,1333.1235,31.0,3435,69.0,2.225806452,2580.239032,0
422,262.0,0a5c90d0-e6fc-49f6-a470-669f25b957f5,36804245.0,7184.0,4960.0,0.6904,1385.6328,14.0,2007,54.0,3.857142857,5938.426286,0
423,262.0,0a5c90d0-e6fc-49f6-a470-669f25b957f5,36804363.0,6404.0,4180.0,0.6527,1208.1477,19.0,1851,100.0,5.263157895,3815.2032630000003,0
297,259.0,4d3a069a-b7e5-4964-8b94-fdb4f9b13a29,37107450.0,5626.0,2235.0,0.3973,1128.3319999999999,64.0,2840,205.0,3.203125,1057.81125,0
385,261.0,858ff2d9-4b66-44ec-8b27-614bc832d176,36818384.0,5236.0,2962.0,0.5657,1090.6696,60.0,1928,353.0,5.8833333329999995,1090.6696,0
539,386.0,3ff86310-1ad7-43f2-a5b5-eb8d7959dd08,42786749.0,16492.0,1298.0,0.0787,234.1325,98.0,2975,233.0,2.37755102,143.3464286,0
367,261.0,567e9e71-dd2d-4321-87e2-84f0e8d19b69,36763902.0,8604.0,4907.0,0.5703,1154.8575,55.0,2025,319.0,5.8,1259.844545,0
338,261.0,2a24ffc7-deaf-4e4d-99fb-4f675d36d829,36871390.0,6328.0,2891.0,0.4569,910.6017,39.0,1993,229.0,5.871794872000001,1400.925692,0
332,261.0,0e64319d-4891-4b50-9bba-6351c891587a,36889828.0,6448.0,3791.0,0.5879,1214.6014,23.0,2066,158.0,6.869565217000001,3168.525391,0
330,261.0,0e64319d-4891-4b50-9bba-6351c891587a,36847556.0,6512.0,4456.0,0.6843,1370.6529,29.0,2003,188.0,6.482758621,2835.8335859999997,0
3,1.0,0b773369-8de5-45bd-974f-b048b844defa,36329818.0,6104.0,4994.0,0.8182,1706.7652,15.0,2086,65.0,4.333333333,6827.0608,0
323,259.0,f0e586c8-91a0-410e-b75c-63856d0d37c8,36692613.0,7824.0,1784.0,0.228,1075.248,39.0,4716,200.0,5.128205128,1654.227692,0
313,259.0,a13d8dca-062c-41af-9193-69e1dc1d7ae3,36794430.0,2186.0,1076.0,0.4922,919.9218,75.0,1869,263.0,3.5066666669999997,735.93744,0
311,259.0,9d82de59-0e76-4eba-9783-f3ad0e782827,36829391.0,2764.0,1654.0,0.5984,1104.048,33.0,1845,235.0,7.121212121,2007.36,0
306,259.0,82757cc2-2141-4796-be3d-95eaac2e43ed,37232170.0,3958.0,1995.0,0.504,1068.984,31.0,2121,234.0,7.548387097000001,2069.0012899999997,0
369,261.0,5b4e39bc-d46d-484f-858f-74f0e6756fae,36881494.0,6380.0,4324.0,0.6777,1201.5621,30.0,1773,170.0,5.666666667,2403.1242,0
300,259.0,4d3a069a-b7e5-4964-8b94-fdb4f9b13a29,37109807.0,2604.0,1494.0,0.5737,1132.4838,39.0,1974,272.0,6.974358973999999,1742.2827690000001,0
372,261.0,77f75bce-1d3b-465e-9938-efaa8b6936c6,36914884.0,4556.0,1638.0,0.3595,668.3105,23.0,1859,175.0,7.608695652000001,1743.4186960000002,0
374,261.0,80515f53-d41c-4e14-b249-683adddc657c,36718347.0,6480.0,4424.0,0.6827,1274.6009,38.0,1867,220.0,5.789473684,2012.5277370000001,0
375,261.0,80515f53-d41c-4e14-b249-683adddc657c,36724562.0,6404.0,4348.0,0.679,1275.162,99.0,1878,336.0,3.3939393939999998,772.8254545,0
