,user_id,reading_session,article_id,scroll_range,max_offset,ratio,displayedWords,reading_duration,numberOfWords,numOfScroll,freScroll,reading_speed,label
224,250.0,25e0ef2f-e5e6-4370-b7dd-5e2f4d38114a,36786481.0,5124.0,165.0,0.0322,153.4008,29.0,4764,19.0,0.655172414,317.3809655,2
258,250.0,cbb60f43-967b-4338-a3df-4b8834f02906,36711711.0,1869.0,204.0,0.1091,185.5791,28.0,1701,57.0,2.035714286,397.6695,2
502,380.0,30d3b109-cf78-46e7-9b95-731a6f252071,42715147.0,13311.0,2153.0,0.1617,549.6183,12.0,3399,57.0,4.75,2748.0915,2
548,389.0,318570ab-c3c5-4393-bf0c-40a5cecc1e74,42826915.0,4385.0,229.0,0.0522,133.1622,24.0,2551,20.0,0.833333333,332.9055,2
191,125.0,f00a9c32-e92e-4f26-9b81-8ef4d699482b,36713699.0,2953.0,174.0,0.0589,119.56700000000001,33.0,2030,41.0,1.242424242,217.39454550000002,2
547,389.0,318570ab-c3c5-4393-bf0c-40a5cecc1e74,42821938.0,3902.0,752.0,0.1927,478.2814,13.0,2482,37.0,2.8461538460000004,2207.4526149999997,2
341,261.0,2e5fd721-9cf8-4512-a918-ee43dcd01a9f,36774751.0,9876.0,222.0,0.0225,49.77,13.0,2212,52.0,4.0,229.7076923,2
540,386.0,3ff86310-1ad7-43f2-a5b5-eb8d7959dd08,42786749.0,16520.0,128.0,0.0077,22.9075,98.0,2975,5.0,0.051020407999999996,14.025,2
196,126.0,36c808dc-abe0-4e2d-a0b1-bd6e28b3379c,36710828.0,1774.0,664.0,0.3743,662.1367,36.0,1769,118.0,3.277777778,1103.561167,2
538,386.0,3ff86310-1ad7-43f2-a5b5-eb8d7959dd08,42786749.0,16220.0,161.0,0.0099,29.4525,98.0,2975,23.0,0.234693878,18.03214286,2
532,385.0,98f10109-a707-4dc0-a65f-ed55a0f4e5f4,42826915.0,6276.0,1785.0,0.2844,725.5044,23.0,2551,76.0,3.3043478260000003,1892.620174,2
527,385.0,44abeeef-74e6-4df5-9182-1e55fada70a9,42782785.0,3915.0,1244.0,0.3178,570.1332,11.0,1794,34.0,3.0909090910000003,3109.817455,2
